created_at,flowrate
2022-03-30 18:39:11+00:00,10.41
2022-03-30 18:49:53+00:00,10.45
2022-03-30 18:59:04+00:00,10.33
2022-03-30 19:09:43+00:00,10.37
2022-03-31 10:39:07+00:00,10.64
2022-03-31 10:49:46+00:00,10.49
2022-03-31 10:58:54+00:00,10.43
2022-03-31 11:09:33+00:00,10.44
2022-04-01 05:10:11+00:00,10.53
2022-04-01 05:19:19+00:00,10.45
2022-04-01 05:29:58+00:00,10.35
2022-04-01 05:39:06+00:00,10.36
2022-04-02 00:59:54+00:00,10.44
2022-04-02 01:09:02+00:00,10.45
2022-04-02 01:19:42+00:00,10.46
2022-04-02 01:30:22+00:00,10.51
2022-04-02 12:38:55+00:00,10.8
2022-04-02 12:49:35+00:00,10.42
2022-04-02 13:00:14+00:00,10.62
2022-04-02 13:09:21+00:00,10.35
2022-04-03 07:39:39+00:00,10.46
2022-04-03 07:48:55+00:00,10.48
2022-04-03 07:59:41+00:00,10.48
2022-04-03 08:08:55+00:00,10.41
2022-04-04 16:29:46+00:00,10.56
2022-04-04 16:38:56+00:00,10.36
2022-04-04 16:49:39+00:00,10.43
2022-04-04 17:00:22+00:00,10.33
2022-04-04 17:09:34+00:00,10.39
2022-04-05 08:59:31+00:00,10.41
2022-04-05 09:10:16+00:00,10.34
2022-04-05 09:19:28+00:00,10.27
2022-04-05 09:30:15+00:00,10.26
2022-04-06 20:09:10+00:00,10.37
2022-04-06 20:20:06+00:00,10.44
2022-04-06 20:29:21+00:00,10.23
2022-04-06 20:40:08+00:00,10.26
2022-04-07 08:00:20+00:00,10.43
2022-04-07 08:09:35+00:00,10.35
2022-04-07 08:20:21+00:00,10.37
2022-04-07 08:29:40+00:00,10.28
2022-04-08 01:59:57+00:00,10.6
2022-04-08 02:09:14+00:00,10.48
2022-04-08 02:20:03+00:00,10.49
2022-04-08 02:29:21+00:00,10.44
2022-04-08 12:09:27+00:00,10.49
2022-04-08 12:19:39+00:00,10.59
2022-04-08 12:28:54+00:00,10.54
2022-04-08 12:39:44+00:00,10.48
2022-04-09 06:19:01+00:00,10.36
2022-04-09 06:29:58+00:00,10.48
2022-04-09 06:39:20+00:00,10.48
2022-04-09 06:50:15+00:00,10.42
2022-04-10 00:19:37+00:00,10.54
2022-04-10 00:28:54+00:00,10.46
2022-04-10 00:39:46+00:00,10.41
2022-04-10 00:49:03+00:00,10.27
2022-04-11 06:59:16+00:00,10.38
2022-04-11 07:08:34+00:00,10.29
2022-04-11 07:19:31+00:00,10.32
2022-04-11 07:28:51+00:00,10.31
